Designator,Mid X,Mid Y,Layer,Rotation
C1, 6.35,20.32,Top,0.0
C2,21.59,17.78,Top,180.0
C3,16.51,17.78,Top,180.0
C4,21.59,10.16,Top,180.0
C5,21.59,15.24,Top,180.0
C6, 8.89, 5.08,Top,180.0
C7, 6.35,12.70,Top,180.0
IC1,13.97,11.43,Top,270.0
R1, 2.54,19.05,Top,90.0
R2, 6.35,17.78,Top,180.0
R3, 6.35,22.86,Top,0.0
R4,16.51,20.32,Top,180.0
R5,11.43,17.78,Top,0.0
R6,21.59,12.70,Top,0.0
R7,21.59, 7.62,Top,180.0
R8, 6.35, 7.62,Top,0.0
R9, 6.35,10.16,Top,180.0
R10, 6.35,15.24,Top,0.0
R11,16.51, 5.08,Top,180.0
